RAD_Results_from_Floragenex,Batch,PLATE_no,Row_no,Inst.,Extraction_Tube_no,Species,Collector_no,Wild_Garden_Collected,Original_Source_Information,Vouchers,MOR_Herbarium_Accession_Number,Notes,Voucher_Image,Photo_1,Photo_2,City,County,State_Province,Country,Lat,Long,Georeference_Source,Cronn_CP,AFLP,Section,Floragenex Library Name,SEQUENCED ON,SEQUENCING DETAILS
sent,7,8,C5,DUKE,PM-256,Quercus agrifolia var oxyadenia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D5,DUKE,PM-257,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E5,DUKE,PM-258,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F5,DUKE,PM-260,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G5,DUKE,PM-261,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H5,DUKE,PM-262,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A6,DUKE,PM-263,Quercus agrifolia var oxyadenia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B6,DUKE,PM-264,Quercus agrifolia var oxyadenia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C6,DUKE,PM-265,Quercus agrifolia var oxyadenia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D6,DUKE,PM-266,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E6,DUKE,PM-268,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F6,DUKE,PM-269,Quercus x ganderi,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G6,DUKE,PM-270,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H6,DUKE,PM-271,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A7,DUKE,PM-272,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B7,DUKE,PM-273,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C7,DUKE,PM-275,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D7,DUKE,PM-276,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E7,DUKE,PM-277,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F7,DUKE,PM-279,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G7,DUKE,PM-280,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H7,DUKE,PM-281,Quercus wislizeni,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A8,DUKE,PM-282,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B8,DUKE,PM-284,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C8,DUKE,PM-285,Quercus x morehus,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D8,DUKE,PM-286,Quercus fusiformis,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E8,DUKE,PM-287,Quercus fusiformis x stellata,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F8,DUKE,PM-288,Quercus stellata,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G8,DUKE,PM-292,Quercus parvula var. shrevei,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H8,DUKE,PM-293,Quercus parvula var. shrevei,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A9,DUKE,PM-294,Quercus parvula var. shrevei,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B9,DUKE,PM-295,Quercus agrifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C9,DUKE,PM-296,Quercus agrifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D9,DUKE,PM-297,Quercus agrifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E9,DUKE,PM-298,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F9,DUKE,PM-300,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G9,DUKE,PM-304,Quercus gambelii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H9,DUKE,PM-305,Quercus gambelii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A10,DUKE,PM-306,Quercus parvula var. shrevei,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B10,DUKE,PM-307,Quercus parvula var. shrevei,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C10,DUKE,PM-308,Quercus parvula var. shrevei,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D10,DUKE,PM-309,Quercus agrifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E10,DUKE,PM-310,Quercus agrifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F10,DUKE,PM-311,Quercus agrifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G10,DUKE,PM-312,Quercus x chasei (loosely),,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H10,DUKE,PM-313,Quercus lyrata,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A11,DUKE,PM-314,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B11,DUKE,PM-316,Quercus kelloggii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C11,DUKE,PM-317,Quercus velutina,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D11,DUKE,PM-318,Quercus parvula var. tamalpaiensis,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E11,DUKE,PM-319,Quercus parvula var. tamalpaiensis,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F11,DUKE,PM-320,Quercus parvula var. tamalpaiensis,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G11,DUKE,PM-321,Quercus sadleriana,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H11,DUKE,PM-322,Notholithocarpus densiflorus,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,A12,DUKE,PM-323,Chrysolepis chrysophylla,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,B12,DUKE,PM-324,Quercus garryana (small morph),,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,C12,DUKE,PM-325,Quercus vaccinifolia,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,D12,DUKE,PM-327,Quercus garryana,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,E12,DM,11012,Quercus chungii,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,F12,DM,11599,Quercus jenseniana,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,G12,DM,5887,Quercus setulosa,,,,,,,,,,,,,,,,,,,,C523,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,8,H12,XXXXXXXXXXXXXXXXXXXXXXXXXXXLEAVE BLANK FOR FLORAGENEX QUALITY CONTROLXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,,,,,,,,,,,,,,,,,,,,,,,,
sent,7,9,A1,UMN,OAKS-MOR-872,Quercus unknown mexican red oak,J90,UMN common garden ,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,B1,UMN,OAKS-MOR-873,Quercus rugosa,,UMN common garden ,AZ sky islands,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,C1,MOR,OAK-MOR-892,Quercus durifolia,A.Hipp #2015002,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,D1,MOR,OAK-MOR-893,Quercus arizonica,A.Hipp #2015003,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,E1,MOR,OAK-MOR-894,Quercus elliptica,A.Hipp #2015005,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,F1,MOR,OAK-MOR-895,Quercus elliptica,A.Hipp #2015006,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,G1,MOR,OAK-MOR-896,Quercus candicans,A.Hipp #2015007,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,H1,MOR,OAK-MOR-897,Quercus subspathulata,A.Hipp #2015008,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,A2,MOR,OAK-MOR-898,Quercus aristatat,A.Hipp #2015009,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,B2,MOR,OAK-MOR-899,Quercus magnoliifolia,A.Hipp #2015010,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,C2,MOR,OAK-MOR-900,Quercus castanea,A.Hipp #2015011,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,D2,MOR,OAK-MOR-901,Quercus gentryi,A.Hipp #2015012,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,E2,MOR,OAK-MOR-902,Quercus obtusata,A.Hipp #2015013,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,F2,MOR,OAK-MOR-903,Quercus fulva,A.Hipp #2015014,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,G2,MOR,OAK-MOR-904,Quercus castanea,A.Hipp #2015015,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,H2,MOR,OAK-MOR-907,Quercus scytophylla,A.Hipp #2015018,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,A3,MOR,OAK-MOR-908,Quercus gentryi,A.Hipp #2015019,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,B3,MOR,OAK-MOR-909,Quercus splendens,A.Hipp #2015020,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,C3,MOR,OAK-MOR-910,Quercus acutifolia,A.Hipp #2015021,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,D3,MOR,OAK-MOR-911,Quercus crassifolia,A.Hipp #2015022,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,E3,MOR,OAK-MOR-912,Quercus sideroxyla,A.Hipp #2015023,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,F3,MOR,OAK-MOR-913,Quercus conzattii,A.Hipp #2015024,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,G3,MOR,OAK-MOR-914,Quercus eduardii,A.Hipp #2015025,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,H3,MOR,OAK-MOR-915,Quercus chihuahuensis,A.Hipp #2015026,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,A4,MOR,OAK-MOR-916,Quercus conzattii,A.Hipp #2015027,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,B4,MOR,OAK-MOR-917,Quercus eduardii,A.Hipp #2015028,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,C4,MOR,OAK-MOR-918,"Q, eduardii",A.Hipp #2015029,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,D4,MOR,OAK-MOR-919,Quercus eduardii x Quercus conzattii,A.Hipp #2015030,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,E4,MOR,OAK-MOR-920,Quercus grisea,A.Hipp #2015031,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,F4,MOR,OAK-MOR-921,Quercus arizonica,A.Hipp #2015032,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,G4,MOR,OAK-MOR-922,Quercus arizonica,A.Hipp #2015033,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,H4,MOR,OAK-MOR-923,Quercus arizonica,A.Hipp #2015034,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,A5,MOR,OAK-MOR-924,Quercus striatula,A.Hipp #2015035,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,B5,MOR,OAK-MOR-926,Quercus urbanii,A.Hipp #2015037,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,C5,MOR,OAK-MOR-927,Quercus urbanii,A.Hipp #2015038,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,D5,MOR,OAK-MOR-928,Quercus jonesii,A.Hipp #2015039,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,E5,MOR,OAK-MOR-929,Quercus laeta,A.Hipp #2015040,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,F5,MOR,OAK-MOR-930,Quercus laeta ,A.Hipp #2015041,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,G5,MOR,OAK-MOR-931,Quercus chihuahuensis ,A.Hipp #2015076,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,H5,MOR,OAK-MOR-932,Quercus crassifolia ,A.Hipp #2015075,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,A6,MOR,OAK-MOR-933,Quercus resinosa ,A.Hipp #2015044,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,B6,MOR,OAK-MOR-934,Quercus depressipes ,A.Hipp #2015045,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,C6,MOR,OAK-MOR-935,Quercus conzattii ,A.Hipp #2015046,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,D6,MOR,OAK-MOR-936,Quercus sp. ,A.Hipp #2015074,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,E6,MOR,OAK-MOR-937,Quercus radiata ,A.Hipp #2015048,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
sent,7,9,F6,MOR,OAK-MOR-938,Quercus crassifolia 'xerica' ,A.Hipp #2015049,,,,,,,,,,,,,,,,,,,C524,HiSeq 2500,"University of Oregon, Genomics and Cell Char. Core Facility- HiSeq 2500, Read Type Single, length allowed 100, 150, length preferred 100"
